Date,Open,High,Low,Close,Volume,Adj Close
2016-09-09,61.560001,61.639999,60.880001,60.939999,1920700,58.831619
2016-09-08,61.720001,61.779999,61.380001,61.759998,906200,59.623248
2016-09-07,61.790001,61.959999,61.400002,61.599998,868600,59.468784
2016-09-06,62.200001,62.200001,61.529999,61.779999,1030700,59.642557
2016-09-02,61.57,61.869999,61.43,61.860001,1026900,59.719791
2016-09-01,61.25,61.580002,61.16,61.349998,1006000,59.227434
2016-08-31,62.040001,62.080002,61.110001,61.27,1405500,59.150203
2016-08-30,62.23,62.470001,61.91,62.040001,737600,59.893564
2016-08-29,61.700001,62.330002,61.619999,62.25,1259500,60.096297
2016-08-26,62.00,62.080002,61.400002,61.619999,677500,59.488093
2016-08-25,62.009998,62.099998,61.799999,61.919998,484800,59.777713
2016-08-24,62.00,62.150002,61.619999,61.98,631300,59.835638
2016-08-23,62.34,62.450001,61.84,61.970001,831500,59.825986
2016-08-22,61.669998,62.23,61.57,62.200001,798600,60.048028
2016-08-19,61.73,61.759998,61.310001,61.66,794000,59.52671
2016-08-18,62.07,62.119999,61.470001,61.68,779100,59.546018
2016-08-17,62.360001,62.369999,61.66,62.18,777100,60.028719
2016-08-16,62.900002,62.91,62.200001,62.240002,828700,60.086645
2016-08-15,63.310001,63.32,62.91,62.950001,922500,60.77208
2016-08-12,63.16,63.279999,63.080002,63.25,882400,61.0617
2016-08-11,63.299999,63.380001,63.09,63.18,733200,60.994122
2016-08-10,63.16,63.290001,62.970001,63.09,722300,60.907235
2016-08-09,62.84,63.27,62.799999,63.169998,744600,60.984466
2016-08-08,62.630001,62.93,62.580002,62.84,798900,60.665885
2016-08-05,62.779999,62.84,62.459999,62.779999,848500,60.607959
2016-08-04,62.240002,62.549999,61.93,62.389999,1026800,60.231453
2016-08-03,62.279999,62.279999,61.650002,61.810001,795900,59.671521
2016-08-02,62.790001,62.810001,62.02,62.209999,938400,60.05768
2016-07-29,62.459999,62.790001,62.41,62.529999,927600,60.366609
2016-07-28,62.610001,62.73,62.470001,62.59,776700,60.424534
2016-07-27,62.779999,62.790001,62.23,62.630001,1138400,60.463151
2016-07-26,63.119999,63.27,62.810001,62.939999,679500,60.762424
2016-07-25,63.189999,63.41,62.759998,63.029999,815100,60.84931
2016-07-22,62.880001,63.169998,62.77,63.150002,694400,60.965161
2016-07-21,62.50,62.82,62.349998,62.75,741900,60.578998
2016-07-20,62.630001,62.709999,62.240002,62.439999,901300,60.279722
2016-07-19,62.330002,62.50,62.139999,62.400002,1189800,60.241109
2016-07-18,62.599998,62.66,62.310001,62.349998,622500,60.192836
2016-07-15,62.810001,62.889999,62.41,62.52,696800,60.356956
2016-07-14,63.189999,63.189999,62.509998,62.75,843900,60.578998
2016-07-13,62.580002,62.779999,62.189999,62.630001,980200,60.463151
2016-07-12,62.139999,62.709999,61.75,62.540001,1731500,60.376265
2016-07-11,61.439999,61.98,61.200001,61.84,1347600,59.700482
2016-07-08,61.650002,62.200001,61.200001,61.259998,1166800,59.140547
2016-07-07,61.740002,61.830002,61.41,61.59,800000,59.459132
2016-07-06,61.619999,61.830002,61.169998,61.639999,1127800,59.507401
2016-07-05,61.040001,62.040001,61.040001,61.73,1226100,59.594288
2016-07-04,61.490002,61.599998,61.040001,61.200001,459700,59.082625
2016-06-30,60.919998,61.48,60.84,61.139999,1626100,59.0247
2016-06-29,60.599998,60.970001,60.43,60.869999,1243000,58.764041
2016-06-28,60.16,60.75,60.060001,60.310001,1211000,58.223418
2016-06-27,59.380001,60.360001,59.360001,60.169998,1509100,58.088259
2016-06-24,59.50,60.279999,59.150002,59.889999,1394400,57.817947
